id	lang	title	description	source_url	license	notes
peter_rabbit	en	The Tale of Peter Rabbit	A little rabbit goes into Mr. McGregor's garden.	https://www.gutenberg.org/ebooks/14838	US public domain (Beatrix Potter, 1902)	Short opening excerpt; see docs/BIBLIOGRAPHY.md
liebre_tortuga	es	La liebre y la tortuga	Una carrera entre una liebre rápida y una tortuga paciente.	https://en.wikipedia.org/wiki/The_Tortoise_and_the_Hare	Public-domain Aesop motif; original Spanish retelling (Star Learner, 2026)	See docs/BIBLIOGRAPHY.md
